feature_budget,n_features,feature_reduction_pct,trainable_parameters,test_accuracy,test_macro_f1,test_balanced_accuracy,test_ece,temperature,train_time_sec
10,10,91.30434782608697,9794,0.99845,0.9984499982911231,0.9984500000000001,9.234805703161845e-05,1.078321933746338,29.602
20,20,82.6086956521739,11074,0.9995666666666667,0.9995666666647407,0.9995666666666667,0.00031349336405599984,0.871346116065979,40.558
30,30,73.91304347826086,12354,0.9995166666666667,0.9995166666665324,0.9995166666666667,0.0003340985834599018,1.0,32.132
50,50,56.52173913043479,14914,0.9995333333333334,0.9995333333328149,0.9995333333333334,0.0004180768360693707,0.9870614409446716,51.588
all,115,0.0,23234,0.9994,0.9994,0.9994,0.0003507366240024111,1.3920069932937622,0.0
