attack,model,epsilon,n_samples,accuracy,macro_f1,balanced_accuracy,ece,macro_f1_drop_from_clean
FGSM,UVIF-IoT-FE-10,0.1,60000,0.9955666666666667,0.9955666553173043,0.9955666666666667,0.01815524825255075,0.00288334297381887
FGSM,Standard MLP,0.1,60000,0.8502,0.8475189625133207,0.8502000000000001,0.14042339630822342,0.15188103748667925
FGSM,UVIF-IoT-Calibrated MLP,0.1,60000,0.8502,0.8475189625133207,0.8502000000000001,0.137518079149723,0.15188103748667925
PGD,UVIF-IoT-FE-10,0.1,20000,0.99585,0.9958499924366112,0.99585,0.025733411610126544,0.002900006435262781
PGD,UVIF-IoT-Calibrated MLP,0.1,20000,0.8374,0.8347429576107759,0.8373999999999999,0.14799726963639256,0.16450704237234914
