model,feature_budget,n_features,feature_reduction_pct,trainable_parameters,best_epoch,train_time_sec,total_budget_time_sec,val_accuracy,val_macro_f1,val_weighted_f1,val_balanced_accuracy,val_ece,val_brier_score,test_accuracy,test_macro_f1,test_weighted_f1,test_balanced_accuracy,test_ece,test_brier_score,temperature
UVIF-IoT-FE-10,10,10,91.30434782608697,9794,7,29.602,30.998,0.9984791666666667,0.9984791652085399,0.9984791652085399,0.9984791666666667,8.855761090911085e-05,0.0015081723218725864,0.99845,0.9984499982911231,0.9984499982911231,0.9984500000000001,9.234805703161845e-05,0.001523070280448346,1.078321933746338
UVIF-IoT-FE-20,20,20,82.6086956521739,11074,10,40.558,42.256,0.9993333333333333,0.9993333333229166,0.9993333333229166,0.9993333333333334,0.00016094555457435983,0.0006316412300073931,0.9995666666666667,0.9995666666647407,0.9995666666647407,0.9995666666666667,0.00031349336405599984,0.0004334546743325,0.871346116065979
UVIF-IoT-FE-30,30,30,73.91304347826086,12354,7,32.132,33.688,0.9992708333333333,0.9992708333254214,0.9992708333254213,0.9992708333333333,0.00011415385703249451,0.0006554214223431048,0.9995166666666667,0.9995166666665324,0.9995166666665323,0.9995166666666667,0.0003340985834599018,0.00046168756101380346,1.0
UVIF-IoT-FE-50,50,50,56.52173913043479,14914,12,51.588,53.035,0.999375,0.9993749999989149,0.999374999998915,0.9993749999999999,0.00014053982992966657,0.0006204029302309377,0.9995333333333334,0.9995333333328149,0.9995333333328148,0.9995333333333334,0.0004180768360693707,0.00044655806682921767,0.9870614409446716
UVIF-IoT-FE-all,all,115,0.0,23234,10,0.0,0.055,0.9993125,0.9993124999853786,0.9993124999853786,0.9993125,0.00017729189867779304,0.0006917916751700792,0.9994,0.9994,0.9994,0.9994,0.0003507366240024111,0.0005580449962302919,1.3920069932937622
