model,runtime_backend,n_samples,n_features,feature_reduction_pct,trainable_parameters,saved_model_size_mb,mean_time_sec,std_time_sec,samples_per_sec,ms_per_1000_samples
Standard MLP,PyTorch CPU,20000,115,0.0,23234.0,0.0927896499633789,0.11858237999258563,0.014803559043089424,168659.1212054481,5.9291189996292815
UVIF-IoT-Calibrated MLP,PyTorch CPU,20000,115,0.0,23234.0,0.0927896499633789,0.12152861999347805,0.014552764460483276,164570.2880611441,6.076430999673903
UVIF-IoT-FE-10,PyTorch CPU,20000,10,91.30434782608697,9794.0,0.041848182678222656,0.14356090002693236,0.07325712368977161,139313.69889885027,7.178045001346618
UVIF-IoT-FE-10,PyTorch cuda,20000,10,91.30434782608697,9794.0,0.041848182678222656,0.08812568000284955,0.03194589791673747,226948.60339634598,4.406284000142478
Standard MLP,PyTorch cuda,20000,115,0.0,23234.0,0.0927896499633789,0.11274857999524102,0.01685109904780376,177385.82606401053,5.637428999762051
UVIF-IoT-Calibrated MLP,PyTorch cuda,20000,115,0.0,23234.0,0.0927896499633789,0.16786095998249947,0.04889903095368473,119146.22674673803,8.393047999124972
Logistic Regression,scikit-learn CPU,20000,115,0.0,,0.0017232894897460938,0.011959459993522614,0.0009636886236874363,1672316.3095016195,0.5979729996761306
Random Forest,scikit-learn CPU,20000,115,0.0,,1.0017480850219727,0.05598046000814065,0.007540388002977328,357267.5179355727,2.7990230004070327
