,accuracy,balanced_accuracy,precision,recall,f1,ece,roc_auc,pr_auc,nll,brier
Logistic Regression,0.9991426337161646,0.9991426337161646,0.9985789439012225,0.9997079301670451,0.9991431181084568,0.0002979989048651743,0.9998966410447395,0.9999277340698938,0.00459729392699611,0.0007468025071924495
Random Forest,0.999957602766184,0.999957602766184,1.0,0.9999152055323679,0.9999576009685823,5.8068507648609164e-05,0.9999952491624664,0.9999952852908053,0.0003059911740063034,3.418734971227457e-05
Standard MLP,0.9996372681106851,0.9996372681106851,0.9995384325546345,0.9997361949895891,0.9996373039910692,0.0002198360015112204,0.9999795647988019,0.999965589323065,0.00212222227231158,0.00033584871692502285
Standard MLP + T,0.9996372681106851,0.9996372681106851,0.9995384325546345,0.9997361949895891,0.9996373039910692,0.0002237937114004967,0.9999808173855385,0.9999655891011686,0.0021162474804231456,0.0003358324355123967
UVIF-IoT,0.999651400521957,0.999651400521957,0.9996043297628805,0.9996985085595305,0.9996514169430208,0.00021796295647770778,0.9999818685606596,0.999983415975187,0.0020314639898264637,0.0003250631164357803
UVIF-IoT + T,0.999651400521957,0.999651400521957,0.9996043297628805,0.9996985085595305,0.9996514169430208,6.824183424062147e-05,0.9999818685606596,0.999983415975187,0.001934297636061227,0.00032158727164727983
