variant,model,components,n_features,feature_reduction_pct,clean_accuracy,clean_macro_f1,clean_balanced_accuracy,ece,brier_score,fgsm_eps,fgsm_macro_f1,fgsm_macro_f1_drop,pgd_eps,pgd_macro_f1,pgd_macro_f1_drop,train_time_sec
Classical linear baseline,Logistic Regression,scaled features,115,0.0,0.9986166666666667,0.9986166658885411,0.9986166666666667,0.0003207529135794469,0.001238740946233559,,,,,,,5.818
Classical tree baseline,Random Forest,raw features + RF ranking,115,0.0,0.9998333333333334,0.9998333333287037,0.9998333333333334,0.00016986111111119944,0.00010573032407407406,,,,,,,6.736
Neural baseline,Standard MLP,MLP,115,0.0,0.9994,0.9994,0.9994,0.0005242976417143794,0.0005467875550998426,0.1,0.8475189625133207,0.15188103748667925,,,,79.562
Uncertainty/calibration,UVIF-IoT-Calibrated MLP,MLP + temperature scaling + entropy/confidence uncertainty,115,0.0,0.9994,0.9994,0.9994,0.0003507366240024111,0.0005580449962302919,0.1,0.8475189625133207,0.15188103748667925,0.1,0.8347429576107759,0.16450704237234914,
Full UVIF-IoT compact,UVIF-IoT-FE-10,RF-ranked feature budget + calibrated MLP + robustness evaluation,10,91.30434782608697,0.99845,0.9984499982911231,0.9984500000000001,9.234805703161845e-05,0.001523070280448346,0.1,0.9955666553173043,0.00288334297381887,0.1,0.9958499924366112,0.002900006435262781,29.602
