model,split,n_samples,ece,brier_score,mean_confidence,median_confidence,accuracy,n_bins
Logistic Regression,validation,48000,0.00048172104329245724,0.0013919357245939813,0.9989076827530768,0.999999873544005,0.9984791666666667,15
Logistic Regression,test,60000,0.0003207529135794469,0.001238740946233559,0.9989374195802461,0.9999998753751422,0.9986166666666667,15
Random Forest,validation,48000,0.00024687499999983783,0.0001625144675925926,0.9997579861111111,1.0,0.9997291666666667,15
Random Forest,test,60000,0.00016986111111119944,0.00010573032407407406,0.9997518055555557,1.0,0.9998333333333334,15
Standard MLP,validation,48000,0.0005556951252123169,0.0006855362937990973,0.9996917247772217,1.0,0.9993125,15
Standard MLP,test,60000,0.0005242976417143794,0.0005467875550998426,0.999676525592804,1.0,0.9994,15
UVIF-IoT-Calibrated MLP,validation,48000,0.00017729189867779304,0.0006917916751700792,0.9991568922996521,0.9999996423721313,0.9993125,15
UVIF-IoT-Calibrated MLP,test,60000,0.0003507366240024111,0.0005580449962302919,0.9991341233253479,0.9999996423721313,0.9994,15
