model,ece,brier_score,mean_confidence,median_confidence,accuracy,n_bins
Random Forest,0.00016986111111119944,0.00010573032407407406,0.9997518055555557,1.0,0.9998333333333334,15
Logistic Regression,0.0003207529135794469,0.001238740946233559,0.9989374195802461,0.9999998753751422,0.9986166666666667,15
UVIF-IoT-Calibrated MLP,0.0003507366240024111,0.0005580449962302919,0.9991341233253479,0.9999996423721313,0.9994,15
Standard MLP,0.0005242976417143794,0.0005467875550998426,0.999676525592804,1.0,0.9994,15
