model,features,feature_reduction_pct,parameters,size_kb,cpu_ms_per_sample,cpu_samples_per_sec,gpu_ms_per_sample,gpu_samples_per_sec
Logistic Regression,115,0.0,,1.76,0.00045715100000961686,2187461.0358042824,,
Random Forest,115,0.0,,3437.35,0.005447474999818951,183571.28762100523,,
Standard MLP,115,0.0,23234.0,96.39,0.0004007729998556897,2495178.0692813136,0.0025300539999443573,395248.4808711564
UVIF-IoT,30,73.91304347826086,4130.0,20.1,0.00021996600000420585,4546157.133288234,0.0006192050001118332,1614974.0390006416
