,accuracy,precision,recall,f1,roc_auc,pr_auc,ece,brier
LR,0.9991426337161646,0.9985789439012225,0.9997079301670451,0.9991431181084568,0.9998966410447395,0.9999277340698938,0.0002979989048651743,0.0007468025071924495
RF,0.999957602766184,1.0,0.9999152055323679,0.9999576009685823,0.9999952491624664,0.9999952852908053,5.8068507648609164e-05,3.418734971227457e-05
MLP,0.9996372681106851,0.9995384325546345,0.9997361949895891,0.9996373039910692,0.9999808173855385,0.9999655891011686,0.0002237937114004967,0.0003358324355123967
UVIF-IoT,0.999651400521957,0.9996043297628805,0.9996985085595305,0.9996514169430208,0.9999818685606596,0.999983415975187,6.824183424062147e-05,0.00032158727164727983
